1,,,,,
10,2,1,,,
3,,,,,
2,,,,,
9,3,3,,,
3,,,,,
3,,,,,
8,3,2,,,
1,2,8,10,,
4,,,,,
4,7,7,,,
6,,,,,
5,,,,,
5,3,1,,,
8,9,,,,
6,,,,,
1,1,1,,,
4,7,9,12,,
7,,,,,
8,3,5,,,
6,,,,,
8,,,,,
1,2,1,,,
3,5,11,13,,
9,,,,,
2,1,2,,,
5,6,11,14,,
10,,,,,
4,2,4,,,
3,15,,,,
11,,,,,
1,1,1,,,
8,9,13,14,,
12,,,,,
7,1,2,,,
6,14,19,,,
13,,,,,
2,1,2,,,
8,11,14,16,17,
14,,,,,
1,2,1,,,
9,11,12,13,17,18
15,,,,,
5,5,5,,,
10,16,,,,
16,,,,,
4,6,2,,,
13,15,20,,,
17,,,,,
1,3,5,,,
13,14,,,,
18,,,,,
2,3,8,,,
14,21,,,,
19,,,,,
12,1,1,,,
12,,,,,
20,,,,,
2,2,9,,,
16,,,,,
21,,,,,
1,11,1,,,
18,,,,,
